src,dst,kind
article-42.1,article-42.2,HAS_SUBUNIT
article-42.2,article-42.3,HAS_SUBUNIT
article-43,article-43.1,HAS_SUBUNIT
article-43.1,article-43.1.a,HAS_SUBUNIT
article-43.1.a,article-43.1.a.b,HAS_SUBUNIT
article-43.1.a.b,article-43.a,HAS_SUBUNIT
article-43.a,article-43.b,HAS_SUBUNIT
article-43.b,article-43.c,HAS_SUBUNIT
article-43.c,article-43.d,HAS_SUBUNIT
article-43.d,article-43.2,HAS_SUBUNIT
article-43.2,article-43.3,HAS_SUBUNIT
article-43.3,article-43.4,HAS_SUBUNIT
article-43.4,article-43.5,HAS_SUBUNIT
article-43.5,article-43.6,HAS_SUBUNIT
article-44,article-44.1,HAS_SUBUNIT
article-44.1,article-44.2,HAS_SUBUNIT
article-44.2,article-44.3,HAS_SUBUNIT
article-45,article-45.1,HAS_SUBUNIT
article-45.1,article-45.1.a,HAS_SUBUNIT
article-45.1.a,article-45.1.a.b,HAS_SUBUNIT
article-45.1.a.b,article-45.1.a.b.c,HAS_SUBUNIT
article-45.1.a.b.c,article-45.1.a.b.c.d,HAS_SUBUNIT
article-45.1.a.b.c.d,article-45.1.a.b.c.d.e,HAS_SUBUNIT
article-45.1.a.b.c.d.e,article-45.2,HAS_SUBUNIT
article-45.2,article-45.2.a,HAS_SUBUNIT
article-45.2.a,article-45.2.a.b,HAS_SUBUNIT
article-45.2.a.b,article-45.3,HAS_SUBUNIT
article-45.3,article-45.4,HAS_SUBUNIT
article-46,article-46.1,HAS_SUBUNIT
article-46.1,article-46.2,HAS_SUBUNIT
article-46.2,article-46.3,HAS_SUBUNIT
article-46.3,article-46.4,HAS_SUBUNIT
article-46.4,article-46.5,HAS_SUBUNIT
article-46.5,article-46.6,HAS_SUBUNIT
article-46.6,article-46.7,HAS_SUBUNIT
article-47,article-47.1,HAS_SUBUNIT
article-47.1,article-47.2,HAS_SUBUNIT
article-47.2,article-47.3,HAS_SUBUNIT
article-47.3,article-47.4,HAS_SUBUNIT
article-47.4,article-47.5,HAS_SUBUNIT
article-48,article-48.1,HAS_SUBUNIT
article-48.1,article-48.2,HAS_SUBUNIT
